"","id","idPage","message","picture","link","created_time","status_type","reactions_count","likes_count","comments_count","shares_count","like_count","love_count","wow_count","haha_count","sorry_count","anger_count","date"
"1","123929424340390_1352775871455733","123929424340390","ƒåas z≈Øst√°v√°, m√≠sto se mƒõn√≠... p√≠semn√° ƒç√°st #SNMprijimacky bude z√≠tra v m√≠stnosti 200. #jinaktone≈°lo #d√≠kyzapochopen√≠","https://scontent.xx.fbcdn.net/v/t1.0-0/q81/s130x130/18813184_1352775871455733_4168308837634194089_n.jpg?oh=57b54989b9eb0c7c0cd5ef3a08d1822e&oe=5A0AFB36","https://www.facebook.com/stunome/photos/a.123932774340055.18685.123929424340390/1352775871455733/?type=3","2017-06-04T13:36:26+0000","added_photos",6,6,0,0,6,0,0,0,0,0,"2017-06-04"
"2","123929424340390_1354638007936186","123929424340390","Cafe Jedna, skvƒõl√Ω zvuk a dobr√© pivo. Zkou≈°kov√© buƒè pochv√°leno. #DNES #19hod #d√©≈°≈•n√°szahnalpodst≈ôechu #d√≠kyzatv√©p≈ô√≠st≈ôe≈°√≠","https://scontent.xx.fbcdn.net/v/t1.0-0/c35.0.130.130/p130x130/18813664_1349933798406607_3845654121088896287_n.jpg?oh=d18ad6da762807087f115187ff2f2589&oe=5A03545C","https://www.facebook.com/events/193636317826103/","2017-06-06T10:11:44+0000","shared_story",3,2,1,0,2,1,0,0,0,0,"2017-06-06"
"3","123929424340390_1356052284461425","123929424340390","The Skins of Things. V Ponrepo to zase jednou bude syrov√©. Profesorka Hanna Rose Shell, filma≈ôka a historiƒçka vƒõdy a technologi√≠ v √∫ter√Ω 13. ƒçervna od 20:00. #locomotioninwater #secondhand #blind #shoddyaliens","https://scontent.xx.fbcdn.net/v/t39.2147-6/c45.0.130.130/p130x130/18761920_1356051717794815_8037122225981095936_n.jpg?oh=2397f99d5ae3ffc346d3067fe5d51cbc&oe=59F93641","https://www.agosto-foundation.org/cs/the-skins-of-things","2017-06-07T15:51:27+0000","shared_story",7,7,1,0,7,0,0,0,0,0,"2017-06-07"
"4","123929424340390_1356059847794002","123929424340390","Projekce experiment√°ln√≠ch dokument√°rn√≠ch film≈Ø v kinƒõ Ponrepo. Hanna Rose Shell, to chce≈°! #13ƒçervna #20hodin","https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/162735_123930374340295_3789410_n.jpg?oh=80b3d1c79c27f4220bbf1a9e1846bb53&oe=59F26505","https://www.agosto-foundation.org/cs/the-skins-of-things","2017-06-11T08:08:00+0000","shared_story",0,0,0,0,0,0,0,0,0,0,"2017-06-11"
"5","123929424340390_1357063011027019","123929424340390","Hled√° se p≈ô√≠≈°t√≠ dr≈æitel novin√°≈ôsk√© ceny v kategorii investigativn√≠ datov√° ≈æurnalistika. P≈ôihlas se na workshop, kde tƒõ nauƒç√≠, jak na si to rozdat s daty i politiky. #workshop #data Ì†ºÌæñÌ†ΩÌ≤µÌ†ΩÌ≥ä","https://scontent.xx.fbcdn.net/v/t1.0-0/c111.0.130.130/p130x130/19029555_1794035383947411_317567867248422300_n.jpg?oh=6422b56813a2d6362154287c7fa94978&oe=59FEC460","https://www.facebook.com/events/1542608039103308/","2017-06-08T17:13:42+0000","shared_story",2,1,0,0,1,1,0,0,0,0,"2017-06-08"
"6","123929424340390_1360158664050787","123929424340390","#SNMprijimacky","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19105522_1360158664050787_8299261159398304024_n.jpg?oh=d997cdf16316f8eeee01cba1c9c67fcf&oe=5A0A5803","https://www.facebook.com/stunome/photos/a.123932774340055.18685.123929424340390/1360158664050787/?type=3","2017-06-12T06:57:43+0000","added_photos",10,8,0,1,8,2,0,0,0,0,"2017-06-12"
"7","123929424340390_1363147930418527","123929424340390","Zkou≈°kov√©... my v√≠me. Jestli jste se rozhodli ≈æ√≠t radƒõji jako Ì†ºÌºØ, zapojte se je≈°tƒõ ‚è© studentsk√©ho hodnocen√≠ v√Ωuky. Ì†ΩÌ≥±Ì†ΩÌ∂±Ì†ΩÌ∂• je otev≈ôen√° u≈æ jen do soboty. http://hodnoceni.ff.cuni.cz/","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19224949_1363147930418527_7225552867149687876_n.png?oh=80effea23eb763619ddce975a0152813&oe=59C51C62","https://www.facebook.com/stunome/photos/a.123932774340055.18685.123929424340390/1363147930418527/?type=3","2017-06-15T10:28:47+0000","added_photos",3,3,0,0,3,0,0,0,0,0,"2017-06-15"
"8","123929424340390_1367008786699108","123929424340390","Ì†ΩÌ±®‚ÄçÌ†ΩÌ±©‚ÄçÌ†ΩÌ±ß‚ÄçÌ†ΩÌ±¶ versus Ì†ΩÌ≥± Ì†ΩÌ≤ª. Rachel Barr versus Tereza Valkounov√°! Ì†ΩÌ≥¢Ì†ΩÌ≥µÌ†ΩÌ∫∏Ì†ΩÌ¥Æ‚è∞ Smart ‚òïÔ∏è o digit√°ln√≠ch technologi√≠ch a jejich vlivu na p≈ôed≈°koln√≠ dƒõti.","https://scontent.xx.fbcdn.net/v/t1.0-0/c51.0.130.130/p130x130/18952931_1359700797429907_3598635113500523557_n.jpg?oh=af8383d75d17e76c9231742f901b730b&oe=59F73CF7","https://www.facebook.com/events/210606919453775/","2017-06-19T13:40:45+0000","shared_story",4,3,0,0,3,1,0,0,0,0,"2017-06-19"
"9","123929424340390_1370557036344283","123929424340390","Leto≈°n√≠ #SNMprijimacky vƒçera Ì†ΩÌ¥ö n√°hradn√≠m term√≠nem. Dƒõkujeme v≈°em, co p≈ôi≈°li ‚ù§Ô∏è. V√≠ce na na≈°em twitteru Ì†ΩÌ∏á.","https://scontent.xx.fbcdn.net/v/t45.1600-4/c21.0.130.130/p130x130/19577716_6070688784129_5247224282110492672_n.png?oh=e939cbf04ae364aefe74323f364a2d3d&oe=59F34FD0","http://gph.is/1SMLWbh","2017-06-23T09:52:54+0000","shared_story",4,4,1,0,4,0,0,0,0,0,"2017-06-23"
"10","123929424340390_1374210009312319","123929424340390","Kdo by nechtƒõl mentos? Toti≈æ ƒçip Ì†ΩÌ∏Ç. Aneb QRbodies ≈æijou, via ƒåT24. Zasvƒõcenƒõ promlouv√° Mascha Dudu. #YourBodyIsNewMedia","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19459492_10155557414314009_2499166865960468480_n.jpg?oh=272017d30c1d5e03dee0fd6401d5cabd&oe=5A03AC09","https://www.facebook.com/CT24.cz/videos/10155557410769009/","2017-06-27T07:41:05+0000","shared_story",9,8,2,0,8,1,0,0,0,0,"2017-06-27"
"11","123929424340390_193636317826103","123929424340390","D√©s≈•, hromy ani blesky n√°s nezastav√≠... ‚õà Ì†ΩÌ≤™ nech≈• je na≈°√≠m p≈ô√≠stavem ‚û°Ô∏è‚û°Ô∏è‚û°Ô∏è Cafe Jedna ‚û°Ô∏è #SNMbeer ‚û°Ô∏è #zmƒõnam√≠sta.

Proto≈æe k l√©tu pat≈ô√≠ voda a k vodƒõ pat≈ô√≠ pivo a k pivu pat≈ô√≠ dobr√° n√°LADA. Proto≈æe v pondƒõl√≠ jsou p√≠semn√© #SNMprijimacky. Proto≈æe hudba na Studia nov√Ωch m√©di√≠ - StuNoMe nejsou jen Kvazi dƒõcka.

Lada je pra≈æsk√° d√≠vƒç√≠ skupina, kter√° se vƒõnuje moravsk√©mu a slovensk√©mu folkloru. Jej√≠ podstatou je spoleƒçn√° radost ze zpƒõvu a √∫cta ke slovansk√©mu folklorn√≠mu dƒõdictv√≠.

Ì†ΩÌπè a Ì†ΩÌ±± Ì†ΩÌ±© kdo on√© spr√°vn√© Ì†ΩÌ±©‚ÄçÌ†ºÌæ§ Ì†ΩÌ≤¨ proƒç by mƒõla Ì†ΩÌ≤ª svoji Ì†ºÌæì Ì†ΩÌ≥ì, m√° u n√°s Ì†ºÌΩ∫.","https://scontent.xx.fbcdn.net/v/t1.0-0/c35.0.130.130/p130x130/18813664_1349933798406607_3845654121088896287_n.jpg?oh=d18ad6da762807087f115187ff2f2589&oe=5A03545C","https://www.facebook.com/events/193636317826103/","2017-06-01T12:21:37+0000","created_event",0,0,0,0,0,0,0,0,0,0,"2017-06-01"
